2022-08-02 05:53:56 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:56 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:56 status config-files libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:56 status not-installed libsqlite3-0:amd64 <none>
2022-08-02 05:53:56 status installed readline-common:all 8.1-1
2022-08-02 05:53:56 remove readline-common:all 8.1-1 <none>
2022-08-02 05:53:56 status half-configured readline-common:all 8.1-1
2022-08-02 05:53:56 status half-installed readline-common:all 8.1-1
2022-08-02 05:53:56 status config-files readline-common:all 8.1-1
2022-08-02 05:53:56 startup packages configure
2022-08-02 05:53:56 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-08-02 05:53:56 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-08-02 05:53:56 status installed libc-bin:amd64 2.31-13+deb11u3
2022-08-02 05:53:56 startup packages purge
2022-08-02 05:53:56 purge gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status config-files gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gpg-agent:amd64 <none>
2022-08-02 05:53:56 purge wget:amd64 1.21-1+deb11u1 <none>
2022-08-02 05:53:56 status config-files wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:56 status not-installed wget:amd64 <none>
2022-08-02 05:53:56 purge dirmngr:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status config-files dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed dirmngr:amd64 <none>
2022-08-02 05:53:56 purge readline-common:all 8.1-1 <none>
2022-08-02 05:53:56 status config-files readline-common:all 8.1-1
2022-08-02 05:53:56 status not-installed readline-common:all <none>
2022-08-02 05:53:56 startup packages configure
